,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
1432,3687,1974-07-30,Flesh Gordon,Flesh Gordon,Flesh Gordon Collection,314917,2493454.0
1433,3688,1990-07-11,Flesh Gordon Meets the Cosmic Cheerleaders,Flesh Gordon Meets the Cosmic Cheerleaders,Flesh Gordon Collection,314917,2941342.0
1434,11822,1988-01-29,Nekromantik,Nekromantik,Nekromantik Collection,173628,1012024.0
1435,48636,1991-05-07,Nekromantik 2,Nekromantik 2,Nekromantik Collection,173628,17477511.0
1436,17984,1961-03-16,The Absent-Minded Professor,The Absent-Minded Professor,Flubber Collection,294468,1440478.0
1437,19762,1963-01-16,Son of Flubber,Son of Flubber,Flubber Collection,294468,8343583.0
1438,1654,1967-06-15,The Dirty Dozen,The Dirty Dozen,The Dirty Dozen Collection,124492,309070.0
1439,36573,1988-11-10,The Dirty Dozen: The Fatal Mission,The Dirty Dozen: The Fatal Mission,The Dirty Dozen Collection,124492,25725655.0
1440,36571,1985-02-04,The Dirty Dozen: Next Mission,The Dirty Dozen: Next Mission,The Dirty Dozen Collection,124492,23913058.0
1441,36572,1987-03-01,The Dirty Dozen: The Deadly Mission,The Dirty Dozen: The Deadly Mission,The Dirty Dozen Collection,124492,25649956.0
1442,50549,1952-05-02,Belles on Their Toes,Belles on Their Toes,Cheaper by the Dozen (1950) Collection,730700,18586588.0
1443,33839,1950-03-31,Cheaper by the Dozen,Cheaper by the Dozen,Cheaper by the Dozen (1950) Collection,730700,4492414.0
1444,289920,1984-12-25,"Shake, Rattle & Roll","Shake, Rattle & Roll","Shake, Rattle & Roll Collection",527950,35826303.0
1445,278311,1990-12-25,"Shake, Rattle & Roll II","Shake, Rattle & Roll II","Shake, Rattle & Roll Collection",527950,35826303.0
1446,278327,1991-12-25,"Shake, Rattle & Roll III","Shake, Rattle & Roll III","Shake, Rattle & Roll Collection",527950,37216104.0
1447,278332,1992-12-25,"Shake, Rattle & Roll IV","Shake, Rattle & Roll IV","Shake, Rattle & Roll Collection",527950,8338956.0
1448,278336,1994-12-25,"Shake, Rattle & Roll V","Shake, Rattle & Roll V","Shake, Rattle & Roll Collection",527950,8338956.0
1449,348298,1997-12-25,"Shake, Rattle & Roll VI","Shake, Rattle & Roll VI","Shake, Rattle & Roll Collection",527950,8338956.0
1450,319565,2005-12-25,Shake Rattle & Roll 2k5,Shake Rattle & Roll 2k5,"Shake, Rattle & Roll Collection",527950,8338956.0
1451,355673,2006-12-25,"Shake, Rattle & Roll 8","Shake, Rattle & Roll 8","Shake, Rattle & Roll Collection",527950,8589723.0
1452,309760,2007-12-25,"Shake, Rattle and Roll 9","Shake, Rattle and Roll 9","Shake, Rattle & Roll Collection",527950,35826303.0
1453,319459,2008-12-25,"Shake, Rattle & Roll X","Shake, Rattle & Roll X","Shake, Rattle & Roll Collection",527950,19887951.0
1454,58672,2010-12-25,"Shake, Rattle & Roll XII","Shake, Rattle and Roll 12","Shake, Rattle & Roll Collection",527950,30232295.0
1455,100439,2011-12-25,"Shake, Rattle & Roll 13","Shake, Rattle & Roll 13","Shake, Rattle & Roll Collection",527950,33931331.0
1456,174823,2012-12-24,Shake Rattle and Roll Fourteen: The Invasion,Shake Rattle and Roll Fourteen: The Invasion,"Shake, Rattle & Roll Collection",527950,36877873.0
1457,343964,2014-12-25,"Shake, Rattle & Roll XV","Shake, Rattle & Roll XV","Shake, Rattle & Roll Collection",527950,44082972.0
1458,58670,2009-12-25,"Shake, Rattle & Roll 11","Shake, Rattle & Roll 11","Shake, Rattle & Roll Collection",527950,25431279.0
1459,1180282,2023-11-29,"Shake, Rattle & Roll Extreme","Shake, Rattle & Roll Extreme","Shake, Rattle & Roll Collection",527950,75179846.0
1460,2926,1973-12-11,The Three Musketeers,The Three Musketeers,The Musketeers Collection,87631,2179813.0
1461,12310,1974-10-31,The Four Musketeers,The Four Musketeers,The Musketeers Collection,87631,4968653.0
1462,41946,1989-04-12,The Return of the Musketeers,The Return of the Musketeers,The Musketeers Collection,87631,4969126.0
1463,352709,2002-12-25,Mano Po,Mano Po,Mano Po Collection,527954,25417587.0
1464,349388,2003-12-25,Mano Po 2: My Home,Mano Po 2: My Home,Mano Po Collection,527954,15979638.0
1465,430208,2016-12-14,Mano Po 7: Chinoy,Mano Po 7: Chinoy,Mano Po Collection,527954,51693324.0
1466,287641,2004-12-25,Mano Po III: My Love,Mano Po III: My Love,Mano Po Collection,527954,10873994.0
1467,310647,2005-12-25,Mano Po 4: Ako Legal Wife,Mano Po 4: Ako Legal Wife,Mano Po Collection,527954,25542820.0
1468,353092,2006-12-25,Mano Po 5: Gua Ai Di,Mano Po 5: Gua Ai Di,Mano Po Collection,527954,12029149.0
1469,34458,2009-12-25,Mano Po 6: A Mother's Love,Mano Po 6: A Mother's Love,Mano Po Collection,527954,25292924.0
1470,262004,1995-08-04,Black Fox: The Price of Peace,Black Fox: The Price of Peace,Black Fox Collection,665170,51774896.0
1471,115418,1995-07-28,Black Fox,Black Fox,Black Fox Collection,665170,9085924.0
1472,611559,1995-08-11,Black Fox: Good Men and Bad,Black Fox: Good Men and Bad,Black Fox Collection,665170,19479460.0
1473,28719,1966-04-17,大魔神,Daimajin,Daimajin Trilogy,245334,1917302.0
1474,28857,1966-08-13,大魔神怒る,Return of Giant Majin,Daimajin Trilogy,245334,3189309.0
1475,28856,1966-12-10,大魔神逆襲,Wrath of Daimajin,Daimajin Trilogy,245334,1917302.0
1476,496263,1991-12-25,"Okay ka, Fairy ko!","Okay ka, Fairy ko!",Enteng Kabisote Collection,527958,8608073.0
1477,497480,1992-12-25,"Okay ka, Fairy ko! Part 2","Okay ka, Fairy ko! Part 2",Enteng Kabisote Collection,527958,8608073.0
1478,57556,2010-12-25,Si Agimat at si Enteng Kabisote,Si Agimat at si Enteng Kabisote,Enteng Kabisote Collection,527958,29783580.0
1479,85786,2011-12-25,Enteng ng Ina Mo,Enteng ng Ina Mo,Enteng Kabisote Collection,527958,33729909.0
1480,333020,2004-12-25,"Enteng Kabisote: Okay ka, Fairy ko... The Legend","Enteng Kabisote: Okay ka, Fairy ko... The Legend",Enteng Kabisote Collection,527958,8608073.0
1481,333018,2005-12-25,"Enteng Kabisote 2: Okay ka, Fairy ko... The Legend Continues","Enteng Kabisote 2: Okay ka, Fairy ko... The Legend Continues",Enteng Kabisote Collection,527958,8608073.0
1482,274738,2007-12-25,"Enteng Kabisote 4: Okay ka, Fairy ko... The Beginning of the Legend","Enteng Kabisote 4: Okay ka, Fairy ko... The Beginning of the Legend",Enteng Kabisote Collection,527958,8608073.0
1483,309652,2006-12-25,"Enteng Kabisote 3: Okay ka, Fairy ko... The Legend Goes on and on and On","Enteng Kabisote 3: Okay ka, Fairy ko... The Legend Goes on and on and On",Enteng Kabisote Collection,527958,8608073.0
1484,353219,2012-12-25,"Si Agimat, si Enteng Kabisote at si Ako","Si Agimat, si Enteng Kabisote at si Ako",Enteng Kabisote Collection,527958,66847947.0
1485,428359,2016-11-30,Enteng Kabisote 10 and the Abangers,Enteng Kabisote 10 and the Abangers,Enteng Kabisote Collection,527958,66847947.0
1486,9312,1995-08-18,Mortal Kombat,Mortal Kombat,Mortal Kombat Collection,9818,983044.0
1487,9823,1997-11-11,Mortal Kombat: Annihilation,Mortal Kombat: Annihilation,Mortal Kombat Collection,9818,485540.0
1488,11183,1978-11-11,Les Bronzés,French Fried Vacation,French Fried Vacation,52835,6608572.0
1489,33701,1979-11-22,Les Bronzés font du ski,French Fried Vacation 2,French Fried Vacation,52835,20271784.0
1490,21435,2006-02-01,Les Bronzés 3 : Amis pour la vie,French Fried Vacations 3: Friends Forever,French Fried Vacation,52835,23891073.0
1491,16562,1992-03-27,The Cutting Edge,The Cutting Edge,The Cutting Edge Collection,110179,1679183.0
1492,14872,2006-02-07,The Cutting Edge: Going for the Gold,The Cutting Edge: Going for the Gold,The Cutting Edge Collection,110179,6079405.0
1493,15088,2008-03-16,The Cutting Edge: Chasing the Dream,The Cutting Edge: Chasing the Dream,The Cutting Edge Collection,110179,16347105.0
1494,40080,2010-03-14,The Cutting Edge: Fire & Ice,The Cutting Edge: Fire & Ice,The Cutting Edge Collection,110179,26559182.0
1495,205908,2004-05-22,Recon 2020:  The Caprini Massacre,Recon 2020:  The Caprini Massacre,Recon Collection,1050212,
1496,14213,2007-04-04,Recon 2022: The Mezzo Incident,Recon 2022: The Mezzo Incident,Recon Collection,1050212,
1497,452523,2009-11-24,Recon 2023: The Gauda Prime Conspiracy,Recon 2023: The Gauda Prime Conspiracy,Recon Collection,1050212,55054816.0
1498,59306,1995-06-01,Friend of the Family,Friend of the Family,Friend of the Family Collection,1193571,37905521.0
1499,112206,1996-09-13,Friend of the Family II,Friend of the Family II,Friend of the Family Collection,1193571,37905521.0
1500,12223,1975-02-12,The Stepford Wives,The Stepford Wives,Stepford Collection,374384,2462597.0
1501,112703,1987-03-15,The Stepford Children,The Stepford Children,Stepford Collection,374384,12282438.0
1502,137533,1980-10-12,Revenge of the Stepford Wives,Revenge of the Stepford Wives,Stepford Collection,374384,15796197.0
1503,137540,1996-05-14,The Stepford Husbands,The Stepford Husbands,Stepford Collection,374384,15765881.0
1504,301901,1980-02-28,Perro callejero,Perro callejero,Perro Callejero - Colección,1068664,65736097.0
1505,301903,1981-04-30,Perro callejero 2,Perro callejero 2,Perro Callejero - Colección,1068664,77070951.0
1506,16250,2003-04-13,Love Comes Softly,Love Comes Softly,Love Comes Softly Collection,97919,2980843.0
1507,20641,2004-11-20,Love's Enduring Promise,Love's Enduring Promise,Love Comes Softly Collection,97919,10956794.0
1508,22488,2006-10-06,Love's Abiding Joy,Love's Abiding Joy,Love Comes Softly Collection,97919,10992573.0
1509,20583,2005-12-03,Love's Long Journey,Love's Long Journey,Love Comes Softly Collection,97919,10943778.0
1510,30975,2007-04-07,Love's Unending Legacy,Love's Unending Legacy,Love Comes Softly Collection,97919,10993005.0
1511,49857,2007-12-15,Love's Unfolding Dream,Love's Unfolding Dream,Love Comes Softly Collection,97919,14728039.0
1512,21636,2009-04-04,Love Takes Wing,Love Takes Wing,Love Comes Softly Collection,97919,21382951.0
1513,25182,2009-04-11,Love Finds A Home,Love Finds A Home,Love Comes Softly Collection,97919,21412318.0
1514,81450,2011-09-17,Love Begins,Love Begins,Love Comes Softly Collection,97919,31239628.0
1515,87311,2011-02-24,Love's Everlasting Courage,Love's Everlasting Courage,Love Comes Softly Collection,97919,33281201.0
1516,87313,2011-11-05,Love's Christmas Journey,Love's Christmas Journey,Love Comes Softly Collection,97919,35668122.0
1517,10580,1978-04-21,Eskimo Limon,Lemon Popsicle,Lemon Popsicle Collection,167552,4718783.0
1518,10581,1979-05-31,Yotzim Kavua,Going Steady,Lemon Popsicle Collection,167552,52719142.0
1519,10582,1981-04-07,Shifshuf Naim,Hot Bubblegum,Lemon Popsicle Collection,167552,4718783.0
1520,10583,1982-12-11,Sapiches,Private Popsicle,Lemon Popsicle Collection,167552,4718783.0
1521,38172,1984-03-09,Roman Za'ir,Baby Love,Lemon Popsicle Collection,167552,1170553.0
1522,38173,1985-05-10,Harimu Ogen,Up Your Anchor,Lemon Popsicle Collection,167552,751724.0
1523,10584,1987-05-21,אסקימו לימון 7: אהבה צעירה,Young Love,Lemon Popsicle Collection,167552,3681345.0
1524,12585,1988-08-18,Summertime Blues: Lemon Popsicle VIII,Summertime Blues,Lemon Popsicle Collection,167552,1166368.0
1525,31914,1983-04-01,Sababa,Private Manoeuvres,Lemon Popsicle Collection,167552,4718783.0
1526,44300,2001-08-03,אסקימו לימון 9: החגיגה נמשכת,Lemon Popsicle 9: The Party Goes On,Lemon Popsicle Collection,167552,4718783.0
1527,20329,2008-02-07,Lの本当の秘密,Death Note: L Change the World,Death Note Collection,102019,15912738.0
1528,16007,2006-06-17,デスノート,Death Note,Death Note Collection,102019,10736919.0
1529,16140,2006-10-28,デスノート the Last name,Death Note: The Last Name,Death Note Collection,102019,29133741.0
1530,382272,2016-10-29,"デスノート, Light up the NEW world",Death Note: Light Up the NEW World,Death Note Collection,102019,39433229.0
1531,37601,1972-04-10,La noche del terror ciego,Tombs of the Blind Dead,The Blind Dead Collection,108170,5161973.0
1532,12550,1973-05-17,El ataque de los muertos sin ojos,Attack of the Blind Dead,The Blind Dead Collection,108170,5161973.0
1533,28067,1974-06-28,El buque maldito,The Ghost Galleon,The Blind Dead Collection,108170,5153217.0
1534,28071,1975-08-11,La noche de las gaviotas,Night of the Seagulls,The Blind Dead Collection,108170,5162174.0
1535,771,1990-11-16,Home Alone,Home Alone,Home Alone Collection,9888,216072.0
1536,772,1992-11-15,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,Home Alone Collection,9888,294998.0
1537,9714,1997-12-12,Home Alone 3,Home Alone 3,Home Alone Collection,9888,695249.0
1538,12536,2002-11-03,Home Alone 4,Home Alone 4,Home Alone Collection,9888,42199584.0
1539,44450,1964-12-08,"Angélique, marquise des anges",Angelique,Angelique Collection,91813,18629672.0
1540,44453,1965-07-07,Merveilleuse Angélique,Angelique: The Road To Versailles,Angelique Collection,91813,1997076.0
1541,22183,1966-01-31,Angélique et le Roy,Angelique and the King,Angelique Collection,91813,18332925.0
1542,44448,1967-01-01,Indomptable Angélique,Untamable Angelique,Angelique Collection,91813,62247895.0
1543,44446,1968-03-13,Angélique et le Sultan,Angelique and the Sultan,Angelique Collection,91813,62248485.0
1544,36888,1970-10-23,Schulmädchen-Report: Was Eltern nicht für möglich halten,The School Girls,Schoolgirl Report Collection,304809,99461.0
1545,36887,1971-08-26,Der neue Schulmädchen-Report 2. Teil: Was Eltern den Schlaf raubt,Further Confessions of a Sixth Form Girl,Schoolgirl Report Collection,304809,28148882.0
1546,36885,1972-02-17,Schulmädchen-Report 3. Teil: Was Eltern nicht mal ahnen,Schoolgirls Growing Up,Schoolgirl Report Collection,304809,56461521.0
1547,36886,1972-09-28,Schulmädchen-Report 4. Teil: Was Eltern oft verzweifeln läßt,Campus Swingers,Schoolgirl Report Collection,304809,2505806.0
1548,70609,1973-04-13,Schulmädchen-Report 5. Teil: Was Eltern wirklich wissen sollten,Schoolgirl Report Part 5: What All Parents Should Know,Schoolgirl Report Collection,304809,20179415.0
1549,40971,1973-10-11,Schulmädchen-Report 6. Teil: Was Eltern gern vertuschen möchten,Campus Pussycats,Schoolgirl Report Collection,304809,2505806.0
1550,70616,1974-04-24,Schulmädchen-Report 7. Teil: Doch das Herz muß dabei sein,Teenage Playmates,Schoolgirl Report Collection,304809,3661762.0
1551,70628,1974-11-28,Schulmädchen-Report 8. Teil: Was Eltern nie erfahren dürfen,Naughty Co-Eds,Schoolgirl Report Collection,304809,105969.0
1552,70632,1975-08-22,Schulmädchen-Report 9. Teil: Reifeprüfung vor dem Abitur,Varsity Playthings,Schoolgirl Report Collection,304809,
1553,70634,1976-04-02,Schulmädchen-Report 10. Teil: Irgendwann fängt jede an,Campus Teasers,Schoolgirl Report Collection,304809,1584998.0
1554,70638,1977-03-24,Schulmädchen-Report 11. Teil: Probieren geht über Studieren,Naughty Freshmen,Schoolgirl Report Collection,304809,523032.0
1555,70640,1978-02-03,Schulmädchen-Report 12. Teil: Wenn das die Mammi wüßte,Carnal Campus,Schoolgirl Report Collection,304809,7818342.0
1556,70642,1980-08-14,Schulmädchen-Report 13. Teil: Vergiß beim Sex die Liebe nicht,Making Out,Schoolgirl Report Collection,304809,1134919.0
1557,871,1968-02-07,Planet of the Apes,Planet of the Apes,Planet of the Apes (Original) Collection,1709,18618306.0
1558,1685,1970-04-23,Beneath the Planet of the Apes,Beneath the Planet of the Apes,Planet of the Apes (Original) Collection,1709,152058.0
1559,1687,1971-05-20,Escape from the Planet of the Apes,Escape from the Planet of the Apes,Planet of the Apes (Original) Collection,1709,303928.0
1560,1688,1972-06-29,Conquest of the Planet of the Apes,Conquest of the Planet of the Apes,Planet of the Apes (Original) Collection,1709,657159.0
1561,1705,1973-06-15,Battle for the Planet of the Apes,Battle for the Planet of the Apes,Planet of the Apes (Original) Collection,1709,709860.0
1562,15360,1972-01-11,The Night Stalker,The Night Stalker,The Kolchak Collection,554677,13439015.0
1563,32021,1973-01-16,The Night Strangler,The Night Strangler,The Kolchak Collection,554677,23866633.0
1564,564,1999-04-16,The Mummy,The Mummy,The Mummy Collection,1733,253828.0
1565,1734,2001-05-04,The Mummy Returns,The Mummy Returns,The Mummy Collection,1733,957359.0
1566,1735,2008-07-01,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,The Mummy Collection,1733,957331.0
1567,42726,1966-05-27,Un homme et une femme,A Man and a Woman,A Man and a Woman Collection,702159,214312.0
1568,76350,1986-05-13,"Un homme et une femme, 20 ans déjà",A Man and a Woman: 20 Years Later,A Man and a Woman Collection,702159,23651072.0
1569,582887,2019-05-22,Les plus belles années d'une vie,The Best Years of a Life,A Man and a Woman Collection,702159,60778839.0
1570,36214,1996-12-14,モスラ,Rebirth of Mothra,Rebirth of Mothra Collection,171732,1338432.0
1571,36212,1997-12-13,モスラ2 海底の大決戦,Rebirth of Mothra II,Rebirth of Mothra Collection,171732,3368887.0
1572,36247,1998-12-12,モスラ 3 キングギドラ来襲,Rebirth of Mothra III,Rebirth of Mothra Collection,171732,1338396.0
1573,169379,1985-11-01,My American Cousin,My American Cousin,My American Cousin Collection,749278,5928206.0
1574,279754,1989-09-11,American Boyfriends,American Boyfriends,My American Cousin Collection,749278,6513187.0
1575,860,1983-06-03,WarGames,WarGames,WarGames Collection,151263,34130.0
1576,14154,2008-07-29,WarGames: The Dead Code,WarGames: The Dead Code,WarGames Collection,151263,10523539.0
1577,83409,1996-05-27,Feeders,Feeders,Feeders Collection,605919,24979853.0
1578,146138,1998-02-20,Feeders 2: Slay Bells,Feeders 2: Slay Bells,Feeders Collection,605919,24979853.0
1579,876084,2022-06-01,Feeders 3: The Final Meal,Feeders 3: The Final Meal,Feeders Collection,605919,24979853.0
1580,72280,1971-01-13,La Grande Java,The Great Java,Les Charlots - Saga,188133,483488.0
1581,61852,1973-09-06,Le Grand Bazar,The Big Store,Les Charlots - Saga,188133,41909676.0
1582,79391,1972-12-14,Les Charlots font l'Espagne,Charlots Go to Spain,Les Charlots - Saga,188133,3389561.0
1583,72259,1971-12-15,Les bidasses en folie,Rookies Run Amok,Les Charlots - Saga,188133,32395353.0
1584,62662,1974-11-11,Les bidasses s'en vont en guerre,Rookies Go to War,Les Charlots - Saga,188133,32022821.0
1585,78564,1980-12-17,Les Charlots contre Dracula,Les Charlots contre Dracula,Les Charlots - Saga,188133,625550.0
1586,62659,1974-03-13,À nous quatre cardinal !,The Four Charlots Musketeers 2,Les Charlots - Saga,188133,2179813.0
1587,62660,1972-09-22,Les fous du stade,Stadium Nuts,Les Charlots - Saga,188133,41910016.0
1588,47157,1974-02-13,Les quatre Charlots mousquetaires,The Four Charlots Musketeers,Les Charlots - Saga,188133,2179813.0
1589,56501,1975-12-17,Bons baisers de Hong Kong,From Hong Kong with Love,Les Charlots - Saga,188133,23093539.0
1590,72373,1983-02-02,Le Retour des bidasses en folie,Rookies Run Amok 2,Les Charlots - Saga,188133,32395353.0
1591,79386,1979-10-23,Les Charlots en délire,Les Charlots en délire,Les Charlots - Saga,188133,625550.0
1592,79387,1984-02-08,Charlots Connection,Charlots' Connection,Les Charlots - Saga,188133,625550.0
1593,62663,1992-06-17,Le Retour des Charlots,The Charlots Return,Les Charlots - Saga,188133,2179813.0
1594,79370,1978-02-01,Et vive la liberté!,Et vive la liberté!,Les Charlots - Saga,188133,30466677.0
1595,1678,1954-11-03,ゴジラ,Godzilla,Godzilla (Showa) Collection,374509,12004.0
1596,1679,1955-04-24,ゴジラの逆襲,Godzilla Raids Again,Godzilla (Showa) Collection,374509,570279.0
1597,1680,1962-08-11,キングコング対ゴジラ,King Kong vs. Godzilla,Godzilla (Showa) Collection,374509,11988.0
1598,1682,1964-04-29,モスラ対ゴジラ,Mothra vs. Godzilla,Godzilla (Showa) Collection,374509,570269.0
1599,15766,1964-12-20,三大怪獣　地球最大の決戦,"Ghidorah, the Three-Headed Monster",Godzilla (Showa) Collection,374509,570263.0
1600,19545,1965-12-19,怪獣大戦争,Invasion of Astro-Monster,Godzilla (Showa) Collection,374509,570258.0
1601,3115,1966-12-17,ゴジラ・エビラ・モスラ　南海の大決闘,"Ebirah, Horror of the Deep",Godzilla (Showa) Collection,374509,11992.0
1602,18627,1967-12-16,怪獣島の決戦 ゴジラの息子,Son of Godzilla,Godzilla (Showa) Collection,374509,11993.0
1603,3107,1968-08-01,怪獣総進撃,Destroy All Monsters,Godzilla (Showa) Collection,374509,11994.0
1604,39462,1969-12-20,ゴジラ・ミニラ・ガバラ オール怪獣大進撃,All Monsters Attack,Godzilla (Showa) Collection,374509,570240.0
1605,39464,1971-07-24,ゴジラ対ヘドラ,Godzilla vs. Hedorah,Godzilla (Showa) Collection,374509,570231.0
1606,19336,1972-03-12,地球攻撃命令 ゴジラ対ガイガン,Godzilla vs. Gigan,Godzilla (Showa) Collection,374509,570227.0
1607,39264,1973-03-17,ゴジラ対メガロ,Godzilla vs. Megalon,Godzilla (Showa) Collection,374509,11998.0
1608,38582,1974-03-21,ゴジラ対メカゴジラ,Godzilla vs. Mechagodzilla,Godzilla (Showa) Collection,374509,570221.0
1609,19333,1975-03-15,メカゴジラの逆襲,Terror of Mechagodzilla,Godzilla (Showa) Collection,374509,12001.0
1610,41471,1972-01-15,子連れ狼 子を貸し腕貸しつかまつる,Lone Wolf and Cub: Sword of Vengeance,Lone Wolf and Cub Collection,102128,419750.0
1611,17810,1972-04-22,子連れ狼 三途の川の乳母車,Lone Wolf and Cub: Baby Cart at the River Styx,Lone Wolf and Cub Collection,102128,419750.0
1612,41474,1972-09-02,子連れ狼 死に風に向う乳母車,Lone Wolf and Cub: Baby Cart to Hades,Lone Wolf and Cub Collection,102128,419750.0
1613,41486,1974-04-24,子連れ狼 地獄へ行くぞ!大五郎,Lone Wolf and Cub: White Heaven in Hell,Lone Wolf and Cub Collection,102128,419750.0
1614,41482,1973-08-11,子連れ狼 冥府魔道,Lone Wolf and Cub: Baby Cart in the Land of Demons,Lone Wolf and Cub Collection,102128,419750.0
1615,41477,1972-12-30,子連れ狼 親の心子の心,Lone Wolf and Cub: Baby Cart in Peril,Lone Wolf and Cub Collection,102128,419750.0
1616,1694,1985-10-18,Re-Animator,Re-Animator,Re-Animator Collection,98036,1129009.0
1617,18111,1990-09-01,Bride of Re-Animator,Bride of Re-Animator,Re-Animator Collection,98036,1336108.0
1618,11429,2003-04-04,Beyond Re-Animator,Beyond Re-Animator,Re-Animator Collection,98036,1336117.0
1619,9902,2003-05-30,Wrong Turn,Wrong Turn,Wrong Turn Collection,52985,1380847.0
1620,13186,2007-08-25,Wrong Turn 2: Dead End,Wrong Turn 2: Dead End,Wrong Turn Collection,52985,5734461.0
1621,23823,2009-10-20,Wrong Turn 3: Left for Dead,Wrong Turn 3: Left for Dead,Wrong Turn Collection,52985,23658618.0
1622,71672,2011-10-17,Wrong Turn 4: Bloody Beginnings,Wrong Turn 4: Bloody Beginnings,Wrong Turn Collection,52985,31296081.0
1623,125509,2012-10-23,Wrong Turn 5: Bloodlines,Wrong Turn 5: Bloodlines,Wrong Turn Collection,52985,35916354.0
1624,259072,2014-08-22,Wrong Turn 6: Last Resort,Wrong Turn 6: Last Resort,Wrong Turn Collection,52985,42211408.0
1625,26881,1988-05-22,The Incredible Hulk Returns,The Incredible Hulk Returns,The Incredible Hulk Collection,114431,7864161.0
1626,19593,1990-02-18,The Death of the Incredible Hulk,The Death of the Incredible Hulk,The Incredible Hulk Collection,114431,7653582.0
1627,65294,1979-06-13,The Incredible Hulk,The Incredible Hulk,The Incredible Hulk Collection,114431,1140407.0
1628,26883,1989-05-07,The Trial of the Incredible Hulk,The Trial of the Incredible Hulk,The Incredible Hulk Collection,114431,8002440.0
1629,79989,1980-01-30,Bride of the Incredible Hulk,Bride of the Incredible Hulk,The Incredible Hulk Collection,114431,1140407.0
1630,166890,1977-11-27,The Return of the Incredible Hulk,The Return of the Incredible Hulk,The Incredible Hulk Collection,114431,1140407.0
1631,143,1930-04-29,All Quiet on the Western Front,All Quiet on the Western Front,All Quiet On The Western Front Collection,1070848,4592959.0
1632,139793,1937-06-01,The Road Back,The Road Back,All Quiet On The Western Front Collection,1070848,19081988.0
1633,31245,1988-07-14,Hobgoblins,Hobgoblins,The Hobgoblin Collection,429826,3215125.0
1634,125331,2009-06-23,Hobgoblins 2,Hobgoblins 2,The Hobgoblin Collection,429826,3215125.0
1635,42754,2007-01-01,Three Can Play That Game,Three Can Play That Game,Can play that game (Shanté Smith) Collection,1146627,18615823.0
1636,25462,2001-09-07,Two Can Play That Game,Two Can Play That Game,Can play that game (Shanté Smith) Collection,1146627,3130501.0
1637,354718,1979-01-14,Dallas Cowboys Cheerleaders,Dallas Cowboys Cheerleaders,Dallas Cowboys Cheerleaders - Collection,827148,2376164.0
1638,374994,1980-01-13,Dallas Cowboys Cheerleaders II,Dallas Cowboys Cheerleaders II,Dallas Cowboys Cheerleaders - Collection,827148,2376164.0
1639,89659,1975-07-12,Criminally Insane,Criminally Insane,Crazy Fat Ethel Collection,831249,42128633.0
1640,163447,1987-01-01,Criminally Insane 2,Criminally Insane 2,Crazy Fat Ethel Collection,831249,42128633.0
1641,100661,1959-11-01,Terror is a Man,Terror is a Man,Blood Island Collection,812830,26429596.0
1642,77889,1968-05-29,Brides of Blood,Brides of Blood,Blood Island Collection,812830,37964651.0
1643,81477,1969-09-18,Mad Doctor of Blood Island,Mad Doctor of Blood Island,Blood Island Collection,812830,37964634.0
1644,90315,1970-05-06,Beast of Blood,Beast of Blood,Blood Island Collection,812830,37964683.0
1645,14444,1998-11-20,The Rugrats Movie,The Rugrats Movie,Rugrats Collection,57129,1507610.0
1646,20694,2003-06-13,Rugrats Go Wild,Rugrats Go Wild,Rugrats Collection,57129,915315.0
1647,16340,2000-11-17,Rugrats in Paris: The Movie,Rugrats in Paris: The Movie,Rugrats Collection,57129,1518575.0
1648,6007,2001-03-16,Elling,Elling,Elling Collection,12075,2299232.0
1649,11166,2003-10-10,Mors Elling,Mother's Elling,Elling Collection,12075,53729019.0
1650,12076,2005-09-23,Elsk meg i morgen,Love Me Tomorrow,Elling Collection,12075,4962981.0
1651,10748,2007-12-21,St. Trinian's,St. Trinian's,St. Trinian's Collection,12077,10874116.0
1652,11402,1954-09-28,The Belles of St. Trinian's,The Belles of St. Trinian's,St. Trinian's Collection,12077,1381474.0
1653,37565,2009-12-18,St Trinian's 2: The Legend of Fritton's Gold,St Trinian's 2: The Legend of Fritton's Gold,St. Trinian's Collection,12077,22635683.0
1654,21077,1960-12-22,The Pure Hell of St. Trinian's,The Pure Hell of St. Trinian's,St. Trinian's Collection,12077,1381470.0
1655,16904,1957-12-01,Blue Murder at St. Trinian's,Blue Murder at St. Trinian's,St. Trinian's Collection,12077,1381479.0
1656,14387,1966-03-11,The Great St. Trinian's Train Robbery,The Great St. Trinian's Train Robbery,St. Trinian's Collection,12077,1381483.0
1657,40637,1980-09-10,The Wildcats of St. Trinian's,The Wildcats of St. Trinian's,St. Trinian's Collection,12077,15397651.0
1658,36199,2002-03-02,デジモンテイマーズ 暴走デジモン特急,Digimon Tamers: Runaway Locomon,Digimon Tamers Collection,1214254,21344645.0
1659,36200,2001-07-14,デジモンテイマーズ 冒険者たちの戦い,Digimon Tamers: Battle of Adventurers,Digimon Tamers Collection,1214254,26816017.0
1660,10869,1974-02-12,Herbie Rides Again,Herbie Rides Again,Herbie Collection,12087,2092559.0
1661,11451,2005-06-22,Herbie Fully Loaded,Herbie Fully Loaded,Herbie Collection,12087,1549008.0
